































Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.601	0.075	0.579	0.246	0.086	0.083	0.081	0.08	0.078	0.087	0.092	0.08
B	0.087	0.083	0.08	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075
C	0.731	0.074	0.6	0.144	0.09	0.087	0.085	0.079	0.077	0.135	0.099	0.091
D	0.078	0.078	0.078	0.074	0.074	0.074	0.074	0.074	0.074	0.074	0.074	0.074
E	0.69	0.075	0.509	0.133	0.092	0.086	0.082	0.081	0.078	0.132	0.154	0.092
F	0.078	0.078	0.078	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075
G	0.613	0.075	0.489	0.177	0.101	0.091	0.087	0.082	0.08	0.176	0.107	0.102
H	0.078	0.078	0.078	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075
