































Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.478	0.08	0.39	0.351	0.266	0.097	0.093	0.086	0.084	0.083	0.081	0.08
B	0.081	0.079	0.079	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
C	0.345	0.078	0.434	0.326	0.313	0.198	0.114	0.108	0.098	0.097	0.089	0.083
D	0.087	0.123	0.08	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078
E	0.353	0.078	0.357	0.325	0.31	0.263	0.177	0.114	0.096	0.09	0.085	0.081
F	0.083	0.082	0.079	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078
G	0.472	0.078	0.392	0.309	0.28	0.24	0.164	0.107	0.117	0.096	0.095	0.087
H	0.096	0.091	0.089	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078
