	1	2	3	4	5	6	7	8	9	10	11	12
A	0.686	0.078	0.4	0.148	0.104	0.084	0.082	0.083	0.081	0.213	0.102	0.109
B	0.118	0.085	0.085	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078
C	0.442	0.076	0.121	0.106	0.11	0.123	0.117	0.076	0.122	0.125	0.122	0.167
D	0.079	0.078	0.079	0.076	0.076	0.076	0.076	0.076	0.076	0.076	0.076	0.076
E	0.442	0.076	0.121	0.106	0.11	0.123	0.117	0.076	0.122	0.125	0.122	0.167
F	0.079	0.078	0.079	0.076	0.076	0.076	0.076	0.076	0.076	0.076	0.076	0.076
G	0.637	0.076	0.471	0.358	0.101	0.082	0.084	0.081	0.08	0.375	0.247	0.218
H	0.16	0.086	0.081	0.076	0.076	0.076	0.076	0.076	0.076	0.076	0.076	0.076
