	1	2	3	4	5	6	7	8	9	10	11	12
A	0.442	0.076	0.121	0.106	0.11	0.123	0.117	0.076	0.122	0.125	0.122	0.167
B	0.079	0.078	0.079	0.076	0.076	0.076	0.076	0.076	0.076	0.076	0.076	0.076
C	0.442	0.076	0.121	0.106	0.11	0.123	0.117	0.076	0.122	0.125	0.122	0.167
D	0.079	0.078	0.079	0.076	0.076	0.076	0.076	0.076	0.076	0.076	0.076	0.076
E	0.442	0.076	0.121	0.106	0.11	0.123	0.117	0.076	0.122	0.125	0.122	0.167
F	0.079	0.078	0.079	0.076	0.076	0.076	0.076	0.076	0.076	0.076	0.076	0.076
G	0.583	0.076	0.496	0.463	0.504	0.489	0.339	0.363	0.32	0.296	0.264	0.104
H	0.111	0.084	0.081	0.076	0.076	0.076	0.076	0.076	0.076	0.076	0.076	0.076
