ID,max df,standard error,time of max df,standard error,max y,standard error
MS_CR4_N1+M7_C17,1.30E+01,1.59E-02,6.60E-02,6.01E-04,4.02E-01,1.95E-04
MS_CR4_N1+M7_C18,1.19E+01,2.35E-02,6.90E-02,1.73E-03,3.93E-01,1.02E-04
MS_CR4_N1+M7_C19,9.86E+00,2.04E-02,4.17E-02,1.39E-18,4.37E-01,3.43E-04
MS_CR4_N1+M7_C20,3.61E+00,4.20E-03,1.68E-01,3.54E-04,3.57E-01,7.17E-05
MS_CR4_N1+M7_C21,4.11E+00,2.87E-03,2.06E-01,5.57E-04,4.68E-01,1.80E-04
MS_CR4_N1+M7_C22,1.59E+01,9.52E-03,9.72E-02,2.78E-18,4.79E-01,1.23E-04
MS_CR4_N1+M7_C23,1.46E+01,1.09E-02,8.93E-02,6.88E-04,4.06E-01,1.43E-04
MS_CR4_N1+M7_C24,9.90E+00,8.06E-03,1.25E-01,1.38E-04,3.15E-01,1.31E-04
MS_CR4_N1+M7_C25,1.57E+01,1.20E-02,9.72E-02,2.78E-18,4.31E-01,1.67E-04
MS_CR4_N1+M7_C26,9.12E+00,7.77E-03,1.41E-01,4.51E-04,2.70E-01,8.62E-05
MS_CR4_N1+M7_C27,7.68E+00,7.79E-03,1.39E-01,1.94E-04,3.11E-01,2.12E-04
MS_CR4_N1+M7_C28,3.82E+00,2.99E-03,2.06E-01,8.03E-04,3.88E-01,1.69E-04
MS_CR4_N1+M7_C29,2.54E+00,1.32E-02,1.14E-01,3.79E-03,4.43E-01,3.04E-04
MS_CR4_N1+M7_C30,1.63E+00,3.92E-03,4.38E-01,7.42E-04,4.47E-01,1.05E-04
MS_CR4_N1+M7_C31,2.90E+00,3.53E-03,1.93E-01,3.54E-04,6.44E-01,2.43E-04
MS_CR4_N1+M7_C32,8.48E+00,8.40E-03,1.25E-01,0.00E+00,4.34E-01,1.12E-04
MS_CR4_N1+M7_C33,1.16E+01,7.57E-03,1.25E-01,0.00E+00,3.85E-01,9.16E-05
MS_CR4_N1+M7_C34,9.63E+00,1.13E-02,1.12E-01,2.72E-04,3.80E-01,3.33E-04
MS_CR4_N1+M7_C35,1.31E+01,1.20E-02,9.72E-02,2.78E-18,5.16E-01,2.43E-04
MS_CR4_N1+M7_C36,8.39E+00,6.80E-03,1.36E-01,5.56E-04,3.77E-01,1.20E-04
MS_CR4_N1+M7_C37,6.66E+00,7.21E-03,1.67E-01,5.55E-18,3.52E-01,1.33E-04
MS_CR4_N1+M7_C38,3.12E+00,5.26E-03,1.82E-01,3.97E-04,3.81E-01,8.06E-05
MS_CR4_N1+M7_C39,3.80E+00,6.93E-03,4.96E-01,3.11E-03,4.94E-01,8.97E-05
MS_CR4_N1+M7_C40,1.69E+00,3.41E-03,3.54E-01,7.48E-04,4.09E-01,1.22E-04
MS_CR4_N1+M7_C41,1.25E+01,9.82E-03,9.72E-02,2.78E-18,5.62E-01,1.20E-04
MS_CR4_N1+M7_C42,6.93E+00,7.94E-03,1.23E-01,4.67E-04,5.69E-01,1.11E-04
MS_CR4_N1+M7_C43,1.11E+01,1.21E-02,1.11E-01,1.39E-18,4.97E-01,1.37E-04
MS_CR4_N1+M7_C44,1.23E+01,9.58E-03,9.72E-02,2.78E-18,4.89E-01,9.26E-05
MS_CR4_N1+M7_C45,6.41E+00,5.72E-03,1.99E-01,6.67E-04,3.67E-01,2.21E-04
MS_CR4_N1+M7_C46,7.01E+00,6.13E-03,1.78E-01,1.11E-03,4.28E-01,9.23E-05
MS_CR4_N1+M7_C47,3.47E+00,5.94E-03,1.93E-01,4.43E-04,3.79E-01,1.43E-04
MG1655_C1,1.28E+01,4.43E-02,1.28E+01,1.39E-18,2.85E-01,8.93E-05
MG1655_C2,1.22E+01,5.40E-02,1.22E+01,1.39E-18,3.10E-01,1.46E-04
MG1655_C3,1.03E+01,8.02E-03,1.03E+01,4.68E-04,2.84E-01,2.59E-04
MG1655_C4,1.12E+01,1.17E-02,1.12E+01,2.40E-04,2.88E-01,8.88E-05
MG1655_C5,1.02E+01,1.09E-02,1.02E+01,6.33E-04,2.54E-01,2.32E-04
MG1655_C6,1.12E+01,2.10E-02,1.12E+01,8.54E-04,2.56E-01,1.86E-04
MG1655_C7,1.19E+01,3.41E-02,1.19E+01,1.39E-18,2.76E-01,2.87E-04
MG1655_C8,1.16E+01,2.67E-02,1.16E+01,1.49E-03,3.00E-01,3.21E-04
MS_R1_A17+M0_C2,6.86E+00,9.66E-03,6.86E+00,8.57E-04,1.97E-01,3.11E-04
MG1655_C1,1.05E+01,6.23E-03,1.30E-01,6.53E-04,3.59E-01,2.57E-04
MG1655_C2,1.02E+01,7.40E-03,1.54E-01,3.54E-04,3.23E-01,1.86E-04
MG1655_C3,9.76E+00,1.69E-02,1.48E-01,4.49E-03,3.54E-01,2.61E-04
MG1655_C4,9.67E+00,7.27E-03,1.53E-01,0.00E+00,3.84E-01,3.05E-04
MG1655_C5,9.61E+00,6.14E-03,1.53E-01,1.94E-04,3.81E-01,2.16E-04
MG1655_C6,1.06E+01,6.78E-03,1.53E-01,3.03E-04,3.69E-01,2.17E-04
MG1655_C7,9.77E+00,6.26E-03,1.79E-01,4.82E-04,3.61E-01,1.91E-04
MG1655_C8,1.01E+01,1.43E-02,1.53E-01,3.92E-03,4.19E-01,2.84E-04
